text
"COVID-19; Here are the latest updates as of 3pm, 26th February 2020 https://t.co/56nerSYZPS Feb 26, 2020"
"COVID-19; Just when we thought we have discharged all our 22 patients, we have one new local imported case, a 53 year old Malay lady who had a history of travel to Tokyo,. The exhaustive “contact tracing” to find all those people who have come into contact with her has begun.... Feb 27, 2020"
"COVID-19; Nasihat dan kesesuaian mengadakan majlis, persidangan atau perhimpunan orang ramai: https://t.co/oHMUrK2q0i Mar 07, 2020"
"COVID-19; Home Surveillance shall be done for a person identified as below: Close contacts of confirmed positive case COVID-19 & Person under investigation (PUI) which not fulfilled admission criteria after assessment at screening centre. https://t.co/8239Inust8 Mar 07, 2020"
"Status terkini COVID-19, 10 Mac 2020 sehingga jam 6 petang. 12 kes baru dilaporkan di Malaysia pd 10 Mac 2020. Ini menjadikan 129 kes positif setakat ini. Manakala kes ke-87 iaitu lelaki warga tempatan berumur 68thn telah sembuh & discaj. Ini menjadikan 25 kes yg telah discaj https://t.co/VBpoVBSKfF Mar 10, 2020"
"COVID-19; We have a shared responsibility & to protect ourselves, practice self quarantine & avoid public places if you have symptoms plus practice social distancing at least 2 meter. Take all the precautionary measures & maintain good personal hygiene. Help us to help you https://t.co/LjbTLUHspI Mar 12, 2020"
"Terkini COVID-19, setakat 12 tgh hari 19 March 2020. Kes dilaporkan: 110 & 63 adalah jemaah tabligh Jumlah keseluruhan kes di Malaysia: 900 & tabligh 576 Jumlah kes di ICU: 20 Kes sembuh & dischaj 15 Jumlah keseluruhan yang sembuh: 75 & Jumlah kematian 2 & Kes masih di rawat 823 Mar 19, 2020"
"Covid-19; Situasi terkini setakat 12 tgh hari 24 Mac 2020 di Malaysia : Sebanyak 106 kes baru telah dilaporkan menjadikan jumlah keseluruhan 1,624 kes. https://t.co/dyw2zS65vr Mar 24, 2020"
"Status terkini COVID-19 di Malaysia sehingga jam 12pm, 31 Mac 2020. Keseluruhan kes positif 2,766 dengan 19.4% telah sembuh bersamaan 537 pesakit dan 1.55% atau 43 kematian. https://t.co/Own2gMB9fO Mar 31, 2020"
"Status terkini COVID19 sehingga 12pm, 7 April 2020. Kes baharu 170 Keseluruhan 3,963 Kes discaj terbaharu 80 Keseluruhan 1,321 (33.33%) Kematian terbaharu 1 kes Keseluruhan 63 kes (1.6%) https://t.co/XveRoYmrRM Apr 07, 2020"
"Status terkini Covid19 setakat 12 tgh hari 19 Apr 2020 Jumlah kes discaj baru: 95 Jumlah kumulatif kes discaj: 3197 kes (59%). Jumlah kes baru: 84 Jumlah kumulatif: 5389 kes Jumlah kematian baru: 1 kes Jumlah kumulatif kematian: 89 kes. Jumlah kes di ICU: 46 & Intubated: 26 kes https://t.co/Jjs46tjnFG Apr 19, 2020"
"Status terkini COVID-19, 20 Apr, jam 12 tgh hari: Jumlah kes discaj baru: 98 Jumlah kumulatif kes discaj: 3295 (60.7 %) Jumlah kes baharu: 36 Jumlah kumulatif: 5425 kes Jumlah kematian baru: 0 Jumlah kumulatif kematian: kekal 89 kes Jumlah kes di ICU: 45 & 28 bantuan pernafasan https://t.co/TKGa2Yr3ec Apr 20, 2020"
"Terkini COVID19 setakat 22 Apr 2020, jam 12 tgh hari; Jumlah kes discaj baru: 103 Jumlah kumulatif kes discaj: 3452 (62.4 %) Jumlah kes baru; 50 Jumlah kumulatif kes: 5532 Jumlah kematian baru: 1 kes Jumlah kumulatif kematian: 93 kes Jumlah kes di ICU:43 dan 19 Intubated: 25 kes https://t.co/OX1Ws8kJDz Apr 22, 2020"
"Status terkini COVID19, 25 Apr 2020 Jumlah kes discaj baru: 99 Jumlah kumulatif kes discaj: 3762 (65.52 %) Jumlah kes baru: 51 kes Jumlah kumulatif kes : 5742 Jumlah kematian baru: 2 kes Jumlah kumulatif kematian: 98 kes Jumlah kes di ICU: 36 kes Pesakit Intubated: 16 kes https://t.co/zX0okOs7GK Apr 25, 2020"
"Status terkini COVID19 setakat 26 Apr 2020 Jumlah kes discaj baru: 100 Jumlah kumulatif kes discaj: 3862 (66.8 %) Jumlah kes baru: 38 Jumlah kumulatif kes: 5780 Jumlah kematian baru: 0 Jumlah kumulatif kematian: 98 kes Jumlah kes di ICU: 36 kes Pesakit Intubated: *15 kes* https://t.co/7Ze9kmI8VS Apr 26, 2020"
"Terkini Covid19, setakat 27 Apr 2020 jam 12 tgh hari Jumlah kes discaj baru: 95 Jumlah kumulatif kes discaj: 3957 (68 %) Jumlah kes baru: 40 Jumlah kumulatif: 5820 Jumlah kematian baru: 1 kes Jumlah kumulatif kematian: 99 (1.7 %) Jumlah kes di ICU: 37 Pesakit Intubated: 17 https://t.co/87ikQBjx8i Apr 27, 2020"
"Status terkini COVID-19 setakat 28 Apr 2020 jam 12 tgh hari; Jumlah kes discaj baru: 75 Jumlah kumulatif kes discaj: 4032 (69 %) Jumlah kes baru: 30 Jumlah kumulatif: 5850 Jumlah kematian: 1 Jumlah kumulatif kematian: 100 (1.7 %) Jumlah kes di ICU: 36 Pesakit Intubated: 17 https://t.co/cuSTH6WrBz Apr 28, 2020"
"Status terkini Covid19 setakat 30 Apr 2020 Jumlah kes discaj baru: 85 Jumlah kumulatif kes discaj: 4172 (69.5 %) Jumlah kes baharu: 57 Jumlah kumulatif: 6002 Jumlah kematian baru: 2 Jumlah kumulatif kematian: 102 (1.68%) Jumlah kes di ICU: 36 Pesakit COVID-19 Intubated: 14 https://t.co/y5jyCaXdM0 Apr 30, 2020"
"Status terkini COVID-19 setakat 1 May 2020 Jumlah kes discaj baru: 39 Jumlah kumulatif kes discaj: 4,210 (69.3 %) Jumlah kes baru; 69 (12 import) Jumlah kumulatif: 6,071 Jumlah kematian: 1 Jumlah kumulatif kematian: 103 (1.69%) Jumlah kes di ICU: 37 Pesakit Intubated: 14 https://t.co/hcftrFnkgd May 01, 2020"
"Status terkini COVID-19 setakat 2 May 2020 Jumlah kes discaj baru: 116 Jumlah kumulatif kes discaj: 4,326 (70.0 %) Jumlah kes baru; 105 (11 import) Jumlah kumulatif: 6,176 Jumlah kematian: 0 Jumlah kumulatif kematian: 103 (1.69%) Jumlah kes di ICU: 31 Pesakit Intubated: 12 https://t.co/cFuMKsRRk2 May 02, 2020"
"Status terkini COVID-19 setakat 3 May 2020 Jumlah kes discaj baru: 87 Jumlah kumulatif kes discaj: 4,413 (70.0 %) Jumlah kes baru; 116 (52 import) Jumlah kumulatif: 6,298 Jumlah kematian: 2 Jumlah kumulatif kematian: 105 (1.69%) Jumlah kes di ICU: 27 Pesakit Intubated: 13 https://t.co/zGEErtApbU May 03, 2020"
"Status terkini COVID-19 setakat 4 May 2020 Jumlah kes discaj baru: 71 Jumlah kumulatif kes discaj: 4,484 (70.6%) Jumlah kes baru; 55 (7 import) Jumlah kumulatif: 6,353 Jumlah kematian: 0 Jumlah kumulatif kematian: 105 (1.65%) Jumlah kes di ICU: 28 Pesakit Intubated: 13 https://t.co/Xa3lI9TKEI May 04, 2020"
"Status terkini COVID-19 setakat 5 May 2020 Jumlah kes discaj baru: 83 Jumlah kumulatif kes discaj: 4,567 (71.5%) Jumlah kes baru; 30 Jumlah kumulatif: 6,383 Jumlah kematian: 1 Jumlah kumulatif kematian: 106 (1.66%) Jumlah kes di ICU: 24 Pesakit Intubated: 8 https://t.co/10HiCSKSF7 May 05, 2020"
"Status terkini COVID-19 setakat 6 May 2020 Jumlah kes discaj baru: 135 Jumlah kumulatif discaj: 4,702 (73.0%) Jumlah kes baru; 45 Jumlah kumulatif: 6,428 Jumlah kes aktif: 1619 Jumlah kematian: 1 Jumlah kumulatif kematian: 107 (1.66%) Jumlah kes di ICU: 22 Pesakit Intubated: 9 https://t.co/vhwlOum8oq May 06, 2020"
"Status terkini COVID-19 setakat 7 May 2020 Jumlah kes discaj baru: 74 Jumlah kumulatif discaj: 4,776 (73.8%) Jumlah kes baru; 39 Jumlah kumulatif: 6,467 Jumlah kes aktif: 1584 Jumlah kematian: 0 Jumlah kumulatif kematian: 107 (1.66%) Jumlah kes di ICU: 19 Pesakit Intubated: 8 https://t.co/jQWqrscTMT May 07, 2020"
"Status terkini COVID-19 setakat 8 May 2020 Jumlah kes discaj baru: 88 Jumlah kumulatif discaj: 4,864 (74.0%) Jumlah kes baru; 68 Jumlah kumulatif: 6,535 Jumlah kes aktif: 1564 Jumlah kematian: 0 Jumlah kumulatif kematian: 107 (1.66%) Jumlah kes di ICU: 18 Pesakit Intubated: 7 https://t.co/uk4I2kpelj May 08, 2020"
"COVID-19; Kuarantin atau pengasingan selama 14 hari boleh menjadikan seseorang itu terasa terasing. Namun begitu ternyata anda bukan keseorangan. Hubungilah dengan mereka di luar terutamanya ahli keluarga untuk kebaikan semua. Teguhkan iman dan amalkan kelaziman baru. https://t.co/r65U9Zip8B May 08, 2020"
"Status terkini COVID-19 setakat 9 May 2020 Jumlah kes discaj baru: 65 Jumlah kumulatif discaj: 4,929 (74.8%) Jumlah kes baru; 54 Jumlah kumulatif: 6,589 Jumlah kes aktif: 1552 Jumlah kematian: 1 Jumlah kumulatif kematian: 108 (1.63%) Jumlah kes di ICU: 18 Pesakit Intubated: 6 https://t.co/3siVhdoEcU May 09, 2020"
"Status terkini COVID-19 setakat 10 May 2020 Jumlah kes discaj baru: 96 Jumlah kumulatif discaj: 5,025 (75.5%) Jumlah kes baru; 67 Jumlah kumulatif: 6,656 Jumlah kes aktif: 1523 Jumlah kematian: 0 Jumlah kumulatif kematian: 108 (1.62%) Jumlah kes di ICU: 18 Pesakit Intubated: 6 https://t.co/KAPRMZsiYF May 10, 2020"
