date,recovered,cumul_recovered,cumul_recovered_perc,case,cumul_case,case_active,case_local,case_local_wn,case_local_bwn,case_import,case_import_wn,case_import_bwn,death,death_wn,death_bwn,cumul_death,cumul_death_perc,icu,intubated,tweet_id,link,remark,cumul_people_tested,people_tested,case_avg,pos_rate,pos_rate_avg
1/3/2020,0,22,75.86,4,29,7,,,,,,,0,0,0,0,0,0,0,,,,,,1,,
2/3/2020,0,22,75.86,0,29,7,,,,,,,0,0,0,0,0,0,0,,,,"1,739",,1.4,,
3/3/2020,0,22,61.11,7,36,14,,,,,,,0,0,0,0,0,0,0,,,,,,2.9,,
4/3/2020,0,22,44,14,50,28,,,,,,,0,0,0,0,0,0,0,,,,"1,983",,5.3,,
5/3/2020,0,22,40,5,55,33,,,,,,,0,0,0,0,0,0,0,,,,,,5.7,,
6/3/2020,1,23,27.71,28,83,60,,,,,,,0,0,0,0,0,0,0,,,,,,8.3,,
7/3/2020,0,23,24.73,10,93,70,,,,,,,0,0,0,0,0,0,0,,,,,,9.7,,
8/3/2020,1,24,24.24,6,99,75,,,,,,,0,0,0,0,0,2,2,,,,,,10,,
9/3/2020,0,24,20.51,18,117,93,,,,,,,0,0,0,0,0,2,2,,,,"2,686",,12.6,,
10/3/2020,1,25,19.38,12,129,104,,,,,,,0,0,0,0,0,2,2,,,,,,13.3,,
11/3/2020,1,26,17.45,20,149,123,,,,,,,0,0,0,0,0,2,2,,,,"3,573",,14.1,,
12/3/2020,6,32,20.25,9,158,126,,,,,,,0,0,0,0,0,3,3,,,,"3,691",118,14.7,7.63,
13/3/2020,1,33,16.75,39,197,164,,,,,,,0,0,0,0,0,4,4,,,,,,16.3,,
14/3/2020,2,35,14.71,41,238,203,,,,,,,0,0,0,0,0,5,5,,,,"4,899",,20.7,,
15/3/2020,7,42,9.81,190,428,386,,,,,,,0,0,0,0,0,9,9,,,,,,47,,
16/3/2020,0,42,7.59,125,553,509,,,,,,,0,0,0,2,0,12,12,,,,,,62.3,,
17/3/2020,7,49,7.28,120,673,622,,,,,,,2,2,0,2,0.3,12,12,,,,"6,842",,77.7,,
18/3/2020,11,60,7.59,117,790,728,,,,,,,0,0,0,2,0.25,15,15,,,,,,91.6,,
19/3/2020,15,75,8.33,110,900,823,,,,,,,0,0,0,2,0.22,20,20,,,,"8,873",,106,,
20/3/2020,12,87,8.45,130,1030,941,,,,,,,0,0,0,2,0.19,26,26,,,,"10,143",1270,119,,
21/3/2020,27,114,9.64,153,1183,1065,,,,,,,2,2,0,4,0.34,37,23,,,,,,135,,
22/3/2020,25,139,10.64,123,1306,1157,,,,,,,6,6,0,10,0.77,46,22,,,,"11,275",,125.4,,
23/3/2020,20,159,10.47,212,1518,1345,,,,,,,4,4,0,14,0.92,57,27,,,,"13,110",1835,137.9,11.55,
24/3/2020,24,183,11.27,106,1624,1426,,,,,,,1,1,0,15,0.92,64,27,,,,"13,594",484,135.9,21.9,
25/3/2020,16,199,11.08,172,1796,1578,,,,,,,4,4,0,19,1.06,45,34,,,,"15,820",2226,143.7,7.73,
26/3/2020,16,215,10.59,235,2031,1793,,,,,,,4,4,0,23,1.13,45,32,,,,"16,983",1163,161.6,20.21,
27/3/2020,44,259,11.99,130,2161,1876,,,,,,,3,3,0,26,1.2,54,34,,,,"24,168",7185,161.6,1.81,
28/3/2020,61,320,13.79,159,2320,1973,,,,,,,1,1,0,27,1.16,73,54,,,,"29,461",5293,162.4,3,
29/3/2020,68,388,15.71,150,2470,2048,,,,,,,7,7,0,34,1.38,73,52,,,,,,166.3,,
30/3/2020,91,479,18.24,156,2626,2110,,,,,,,3,3,0,37,1.41,94,62,,,,"31,206",,158.3,,
31/3/2020,58,537,19.41,140,2766,2186,,,,,,,6,5,1,43,1.55,94,60,,,,"32,264",1058,163.1,13.23,
1/4/2020,108,645,22.18,142,2908,2218,,,,,,,2,2,0,45,1.55,102,66,,,,"35,802",3538,158.9,4.01,
2/4/2020,122,767,24.61,208,3116,2299,,,,,,,5,5,0,50,1.6,105,54,,,,"37,599",1797,155,11.57,
3/4/2020,60,827,24.81,217,3333,2453,,,,,,,3,3,0,53,1.59,108,54,,,,"39,458",1859,167.4,11.67,
4/4/2020,88,915,26.27,150,3483,2511,,,,,,,4,4,0,57,1.64,99,50,,,,"40,923",1465,166.1,10.24,
5/4/2020,90,1005,27.44,179,3662,2596,,,,,,,4,4,9,61,1.67,99,48,,,,"43,539",2616,170.3,6.84,
6/4/2020,236,1241,32.72,131,3793,2490,,,,,,,1,1,0,62,1.63,102,54,,,,"47,457",3918,166.7,3.34,
7/4/2020,80,1321,33.33,170,3963,2579,,,,,,,1,1,0,63,1.59,92,50,,,,"52,485",5028,171,3.38,
8/4/2020,166,1487,36.1,156,4119,2567,,,,,,,2,1,1,65,1.58,76,45,,,,"58,240",5755,173,2.71,
9/4/2020,121,1608,38,109,4228,2553,,,,,,,2,2,0,67,1.58,72,43,,,,"63,367",5127,158.9,2.13,
10/4/2020,222,1830,42.11,118,4346,2446,,,,,,,3,3,0,70,1.61,69,40,,,,"67,951",4584,144.7,2.57,
11/4/2020,165,1995,44.04,184,4530,2462,,,,,,,3,3,0,73,1.61,72,38,,,,"71,897",3946,149.6,4.66,
12/4/2020,113,2108,45,153,4683,2499,,,,,,,3,3,0,76,1.62,66,37,,,,"77,491",5594,145.9,2.74,
13/4/2020,168,2276,47.23,134,4817,2464,,,,,,,1,1,0,77,1.6,66,36,,,,"81,730",4239,146.3,3.16,
14/4/2020,202,2478,49.7,170,4987,2427,,,,,,,5,4,1,82,1.64,60,33,,,,"84,791",3061,146.3,5.55,
15/4/2020,169,2647,52.2,85,5072,2342,,,,,,,1,1,0,83,1.64,56,32,,,,"87,183",2392,136.1,3.55,
16/4/2020,119,2766,53.4,110,5182,2332,,,,,,,1,1,0,84,1.62,56,29,,,,,,136.3,,
17/4/2020,201,2967,56.5,69,5251,2198,,,,,,,2,2,0,86,1.64,51,26,,,,"96,695",,129.3,,
18/4/2020,135,3102,58.5,54,5305,2115,,,,,,,2,1,1,88,1.66,49,26,,,,"100,794",4099,110.7,1.32,
19/4/2020,95,3197,59.32,84,5389,2103,,,,,,,1,1,0,89,1.65,46,26,,,,"103,892",3098,100.9,2.71,
20/4/2020,98,3295,60.74,36,5425,2041,,,,,,,0,0,0,89,1.65,45,28,,,,"108,216",4324,86.9,0.83,
21/4/2020,54,3349,61.1,57,5482,2041,39,,,18,18,0,3,3,0,92,1.68,43,27,,,,,,70.7,,
22/4/2020,103,3452,62.4,50,5532,1987,,,,,,,1,1,0,93,1.68,43,25,,,,"113,755",,65.7,,
23/4/2020,90,3542,63.2,71,5603,1966,,,,,,,2,2,0,95,1.7,42,21,,,,"117,406",3651,60.1,1.94,
24/4/2020,121,3663,64.4,88,5691,1932,,,,,,,1,1,0,96,1.69,41,18,,,,"121,722",4316,62.9,2.04,
25/4/2020,99,3762,65.52,51,5742,1882,,,,,,,2,,,98,1.71,36,16,1253981951423164416,,,"126,970",5248,62.4,0.97,
26/4/2020,100,3862,66.8,38,5780,1820,,,,,,,0,,,98,1.7,36,15,,,,"131,491",4521,55.9,0.84,
27/4/2020,95,3957,68,40,5820,1764,,,,,,,1,,,99,1.7,37,17,,,,"138,898",7407,56.4,0.54,
28/4/2020,75,4032,69,30,5850,1719,,,,,,,1,,,100,1.7,36,17,,,,"146,799",7901,52.6,0.38,
29/4/2020,55,"4,087",68.75,94,"5,945",1758,22,,,72,,,0,0,0,100,1.7,40,18,,,,"154,203",7404,58.9,1.27,
30/4/2020,85,4172,69.5,57,6002,1729,,,,,,,2,,,102,1.68,36,14,,,,,,56.9,,
